tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating
tt0053125,North by Northwest,1959,136,"Adventure,Mystery,Thriller",8.3
tt0053604,The Apartment,1960,125,"Comedy,Drama,Romance",8.3
tt0055031,Judgment at Nuremberg,1961,179,"Drama,War",8.3
tt0056172,Lawrence of Arabia,1962,218,"Adventure,Biography,Drama",8.3
tt0056592,To Kill a Mockingbird,1962,129,"Crime,Drama",8.3
tt0059578,For a Few Dollars More,1965,132,Western,8.3
tt0062622,2001: A Space Odyssey,1968,149,"Adventure,Sci-Fi",8.3
tt0066921,A Clockwork Orange,1971,136,"Crime,Sci-Fi",8.3
tt0070735,The Sting,1973,129,"Comedy,Crime,Drama",8.3
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,131,"Action,Adventure,Fantasy",8.3
tt0086250,Scarface,1983,170,"Crime,Drama",8.3
tt0093058,Full Metal Jacket,1987,116,"Drama,War",8.3
tt0095016,Die Hard,1988,132,"Action,Thriller",8.3
tt0097576,Indiana Jones and the Last Crusade,1989,127,"Action,Adventure",8.3
tt0105236,Reservoir Dogs,1992,99,"Crime,Drama,Thriller",8.3
tt0113277,Heat,1995,170,"Action,Crime,Drama",8.3
tt0119217,Good Will Hunting,1997,126,"Drama,Romance",8.3
tt0119488,L.A. Confidential,1997,138,"Crime,Drama,Mystery",8.3
tt0180093,Requiem for a Dream,2000,102,Drama,8.3
tt0208092,Snatch,2000,104,"Comedy,Crime",8.3
tt0211915,Amélie,2001,122,"Comedy,Romance",8.3
tt0338013,Eternal Sunshine of the Spotless Mind,2004,108,"Drama,Romance,Sci-Fi",8.3
tt0361748,Inglourious Basterds,2009,153,"Adventure,Drama,War",8.3
tt0372784,Batman Begins,2005,140,"Action,Crime,Drama",8.3
tt0435761,Toy Story 3,2010,103,"Adventure,Animation,Comedy",8.3
tt0476735,My Father and My Son,2005,112,"Drama,Family",8.3
tt10272386,The Father,2020,97,"Drama,Mystery",8.3
tt1049413,Up,2009,96,"Adventure,Animation,Comedy",8.3
tt1255953,Incendies,2010,131,"Drama,Mystery,War",8.3
tt1832382,A Separation,2011,123,Drama,8.3
tt1877830,The Batman,2022,176,"Action,Crime,Drama",8.3
tt2106476,The Hunt,2012,115,Drama,8.3
tt4849438,Baahubali 2: The Conclusion,2017,167,"Action,Drama",8.3
tt8579674,1917,2019,119,"Action,Drama,War",8.3
tt0015864,The Gold Rush,1925,95,"Adventure,Comedy,Drama",8.2
tt0031381,Gone with the Wind,1939,238,"Drama,History,Romance",8.2
tt0040897,The Treasure of the Sierra Madre,1948,126,"Adventure,Drama,Western",8.2
tt0042876,Rashomon,1950,88,"Crime,Drama,Mystery",8.2
tt0046912,Dial M for Murder,1954,105,"Crime,Thriller",8.2
tt0050212,The Bridge on the River Kwai,1957,161,"Adventure,Drama,War",8.2
tt0050986,Wild Strawberries,1957,91,"Drama,Romance",8.2
tt0053291,Some Like It Hot,1959,121,"Comedy,Music,Romance",8.2
tt0055630,Yojimbo,1961,110,"Action,Drama,Thriller",8.2
tt0057115,The Great Escape,1963,172,"Adventure,Drama,History",8.2
tt0071315,Chinatown,1974,130,"Drama,Mystery,Thriller",8.2
tt0071853,Monty Python and the Holy Grail,1975,91,"Adventure,Comedy,Fantasy",8.2
tt0080678,The Elephant Man,1980,124,"Biography,Drama",8.2
tt0081398,Raging Bull,1980,129,"Biography,Drama,Sport",8.2
tt0084787,The Thing,1982,109,"Horror,Mystery,Sci-Fi",8.2
tt0089881,Ran,1985,162,"Action,Drama,War",8.2
tt0096283,My Neighbor Totoro,1988,86,"Animation,Comedy,Family",8.2
tt0105695,Unforgiven,1992,130,"Drama,Western",8.2
tt0107290,Jurassic Park,1993,127,"Action,Adventure,Sci-Fi",8.2
tt0112641,Casino,1995,178,"Crime,Drama",8.2
tt0116231,The Bandit,1996,128,"Crime,Drama,Thriller",8.2
tt0117951,Trainspotting,1996,93,Drama,8.2
tt0118849,Children of Heaven,1997,89,"Drama,Family,Sport",8.2
tt0120382,The Truman Show,1998,103,"Comedy,Drama",8.2
tt0120735,"Lock, Stock and Two Smoking Barrels",1998,107,"Action,Comedy,Crime",8.2
tt0167404,The Sixth Sense,1999,107,"Drama,Mystery,Thriller",8.2
tt0266543,Finding Nemo,2003,100,"Adventure,Animation,Comedy",8.2
tt0266697,Kill Bill: Vol. 1,2003,111,"Action,Crime,Drama",8.2
tt0268978,A Beautiful Mind,2001,135,"Biography,Drama",8.2
tt0347149,Howl's Moving Castle,2004,119,"Adventure,Animation,Family",8.2
tt0363163,Downfall,2004,156,"Biography,Drama,History",8.2
tt0434409,V for Vendetta,2005,132,"Action,Drama,Sci-Fi",8.2
tt0457430,Pan's Labyrinth,2006,118,"Drama,Fantasy,War",8.2
tt0469494,There Will Be Blood,2007,158,Drama,8.2
tt0477348,No Country for Old Men,2007,122,"Crime,Drama,Thriller",8.2
tt0871510,Let's Go! India,2007,153,"Drama,Family,Sport",8.2
tt0993846,The Wolf of Wall Street,2013,180,"Biography,Comedy,Crime",8.2
tt1130884,Shutter Island,2010,138,"Mystery,Thriller",8.2
